id,company_id/id,location_id/id,storage_category_id/id,active,posx,posy,posz,usage,barcode,removal_priority,name
marin.stock_location_5001,,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Intercompany transit: LMMG-LMMR
marin.stock_location_5002,,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Intercompany transit: LMMG-XM
marin.stock_location_5003,,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Intercompany transit: LMMR-LMMG
marin.stock_location_5004,,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Intercompany transit: LMMR-XM
marin.stock_location_5005,,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Intercompany transit: XM-LMMG
marin.stock_location_5006,,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Intercompany transit: XM-LMMR
marin.stock_location_5007,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: BAL-CDG
marin.stock_location_5008,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: BAL-LOM
marin.stock_location_5009,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: BAL-SJN
marin.stock_location_5010,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-BAL
marin.stock_location_5011,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-HMT
marin.stock_location_5012,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-LOM
marin.stock_location_5013,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-MICH
marin.stock_location_5014,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-MOCH
marin.stock_location_5015,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-OBR
marin.stock_location_5016,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-SALT
marin.stock_location_5017,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-SJN
marin.stock_location_5018,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: CDG-SNT
marin.stock_location_5019,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: HMT-CDG
marin.stock_location_5020,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: LOM-BAL
marin.stock_location_5021,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: LOM-CDG
marin.stock_location_5022,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: LOM-SJN
marin.stock_location_5023,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: MICH-CDG
marin.stock_location_5024,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: MOCH-CDG
marin.stock_location_5025,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: MOCH-OBR
marin.stock_location_5026,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: OBR-CDG
marin.stock_location_5027,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: OBR-MOCH
marin.stock_location_5028,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: OBR-SALT
marin.stock_location_5029,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: SALT-CDG
marin.stock_location_5030,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: SJN-BAL
marin.stock_location_5031,marin.company_lmmr,stock.stock_location_locations_virtual,,True,0,0,0,Transit Location,,10,Interwarehouse transit: SJN-CDG
